barrio,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,lat,lon,url,text
,,,,,,,,,,,,,,,,,https://www.habitaclia.com/alquiler-dreta_de_l_eixample-barcelona.htm,
Dreta de l´Eixample,1.200 €,,1 Baño,,Superficie 55 m,Año construcción 1983,Planta número 5,,,Terraza 12 m,Sin calefacción,Sin plaza parking,Sin aire acondicionado,Sin ascensor,"VGPSLat\"":41.3958872","VGPSLon\"":2.1703441",https://www.habitaclia.com/alquiler-piso-temporal_dreta_de_l_eixample-barcelona-i4672003199404.htm?f=&from=list&lo=55," Piso alto y luminoso, totalmente amueblado y equipado, con un gran balcón y mucho sol.  un dormitorio, salón comedor y baño completo. diseñado y equipado para una cómoda estancia.  DISPONIBLE EN CONTRATOS DE 1 A 11 MESES  El precio incluye todos los servicios, agua y luz"
Dreta de l´Eixample,6.000 €,7 habitaciones,4 Baños,,Superficie 400 m,Año construcción 1900,,Lavadero ,Trastero ,,Calefacción ,,Aire acondicionado ,,"VGPSLat\"":41.3925500","VGPSLon\"":2.1687700",https://www.habitaclia.com/alquiler-casa-en_un_encantador_pasaje_privativo_se_encuentran_un_conjunto_de_dreta_de_l_eixample-barcelona-i2333003266104.htm?f=&from=list&lo=55," Casa para oficina o sede corporativa el mejor escaparate de tu compañía, para Consulado  o para vivienda en el pleno Eixample de  Barcelona en Pasaje privativo donde se encuentran un   conjunto de casas tipo Inglesas. En pleno  Eixample de Barcelona  en un encantador Pasaje Privativo se encuentran un conjunto de casas de estilo Ingles proyectadas por Jeromi Granell Barrero. Construida en 1900 donde vivió Apeles Mestre artista polifacético  Poeta,ilustrador de libros y de viñetas de prensa de la época,figura notable de la literatura Catalana. Se alquila como vivienda o como despacho corporativo,centro medico,centro arquitectura etc.......... - 400?m2 construidos.con terrazas.  -En 3 plantas vivienda de 327m2 construidos más  las 2 terrazas. - 7 habitaciones  o despachos  habilita-bles - 4 baños  completos con ducha o bañera - 2 salones/comedor con chimenea/recepción representativa  - 1 cocina completa  - armarios/arxivos empotrados en habitaciones separadas  - 1 bodega/trastero  - 2 terrazas - jardín en la entrada - portero en el pasaje  (privacidad y silencio en el  centro de Barcelona) - acceso pera a vehículos (cargara y descarga) parket, calefacción individual en todas las estancias  Se alquila sin Sin muebles"
Dreta de l´Eixample,1.550 €,4 habitaciones,3 Baños,,Superficie 135 m,,Planta número 1,,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3899600","VGPSLon\"":2.1716800",https://www.habitaclia.com/alquiler-piso-magnifico_de_en_calle_caspe_dreta_de_l_eixample-barcelona-i14672002924857.htm?f=&from=list&lo=55," Magnífico piso en alquiler completamente reformado, ubicado en calle Caspe, muy cerca del centro de Barcelona, 5 minutos a pie de Plaza Urquinaona y Plaza Cataluña. Por su ubicación, cuenta con todo tipo de comercios y servicios, así como excelentes comunicaciones tanto en transporte público (metro, bus, FGC, taxi) como privado. El piso cuenta con 4 habitaciones, de las cuales tres son dobles y dos de ellas en suite. Las dos habitaciones dobles, que dan a fachada frente a calle Caspe, son espaciosas y cuentan con armarios empotrados. El salón-comedor está igualmente orientado a calle Caspe. La vivienda dispone de 3 baños, dos en suite y el tercero para dar servicio a las habitaciones restantes y a eventuales convidados. En el precio no se incluye plaza de parking ni trastero, pero sí un altillo dentro del piso para almacenamiento. En cuanto a la climatización, la calefacción es por aire (bomba de calor). El piso cuenta con techos altos y tiene dos patios de luces interiores. No se permiten mascotas. Disponibilidad inmediata. 1 mes de fianza, 1 mes de garantía adicional. Honorarios para la agencia del 10% de la anualidad. Renta calculada y adaptada a las condiciones de la Llei del 18 de setembre, de mesures urgents en matèria de contenció de rendes en els contractes d'arrendament d'habitatge i de modificació de la Llei de la Llei 24/2015 i de la Llei 4/2016, relatives a la protecció del dret a l'habitatge."
Dreta de l´Eixample,2.200 €,6 habitaciones,2 Baños,,Superficie 185 m,Año construcción 1900,Planta número 4,,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3972957","VGPSLon\"":2.1664800",https://www.habitaclia.com/alquiler-piso-estudiantes_dreta_de_l_eixample-barcelona-i33470004005908.htm?f=&from=list&lo=55," ´DESCRIPCIÓN: Piso de alquiler, en la Dreta de l´Eixample (junto Mercat de la Concepció, cerca de La Pedrera), de 165 metros útiles (185 metros construidos), en buen estado, con ascensor. Finca modernista con gran encanto. DISTRIBUCIÓN: Dormitorios: 4 habitaciones dobles y 2 individuales; equipados con ventiladores y calefacción, armarios roperos, mesita de noche y escritorio de estudio. Salón: Gran salón-comedor, con galería a patio de manzanas. Luminoso. Cocina: Independiente, de gas 4 fogones, horno, microondas, nevera. Baño: 2 baños completos con plato de ducha y 1 aseo de cortesía. EXTRAS: Calefacción individualizada eléctrica, ventiladores, aire acondicionado en salón, suelos de gres clásicos, recibidor. SERVICIOS INCLUIDOS: Mantenimiento piso, Wi-Fi, limpieza semanal zonas comunes / NO INCLUIDO: Suministros aparte. TRANSPORTE Y COMUNICACIÓN: L5/L4 Verdaguer L5/L3 Diagonal, líneas de bus, bien comunicado. LUGARES DE INTERÉS: Sagrada Familia, Casa deles Punxes, Mercat de la Concepció, La Pedrera, Passeig de Gràcia, Palau Robert, Jardinets de Gràcia.. . GASTOS: 2 meses de fianza, honorarios agencia OFERTAS: 20% descuentos honorarios con Carnet Jove / 10% adicional reservando antes del  ÍNDEX LLOGUER HABITATGE: 11,93€ Ideal para compartir estudiantes o profesionales sanitarios. Llame a BarnaFinc para concertar visita.´ Características básicas     185 m² construidos, 165 m² útiles     6 habitaciones     2 baños     Balcón     Segunda mano/buen estado     Construido en 1900     Amueblado y cocina equipada     Calefacción individual: Eléctrica     Certificación energética: en trámite Edificio     Planta 4ª exterior     con ascensor Equipamiento     Aire acondicionado"
Dreta de l´Eixample,1.800 €,3 habitaciones,2 Baños,,Superficie 110 m,,Planta número 2,,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3914117","VGPSLon\"":2.1652930",https://www.habitaclia.com/alquiler-piso-paseo_de_gracia_dreta_de_l_eixample-barcelona-i4837003906406.htm?f=&from=list&lo=55," Precioso piso en el corazón de Barcelona. En pleno del emblemático Paseo de Gracia. A 5 minutos de Plaza Catalunya andando y a 3 de la casa Batlló. Una ubicación inmejorable. Situado en una finca modernista con todas las comodidades. 110 m2 de vivienda muy bien distribuida y totalmente amueblada. Lista para entrar a vivir. 3 habitaciones: La principal muy amplia en suite, una segunda también muy amplia, con armarios empotrados y una tercera individual. 2 baños completos con bañera. Salón comedor con dos ambientes distintos. Muy acogedor, con salida a un balcón. Grandes ventanales y muy luminoso. Cocina office muy espaciosa con todos los electrodomésticos de alta gama. Servicio de conserjería"
Dreta de l´Eixample,1.500 €,3 habitaciones,2 Baños,,Superficie 136 m,Año construcción 1945,,,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3891220","VGPSLon\"":2.1676280",https://www.habitaclia.com/alquiler-piso-fabuloso_en_al_lado_de_rambla_catalunya_dreta_de_l_eixample-barcelona-i5257004015997.htm?f=&from=list&lo=55," Fabuloso piso en alquiler al lado de Rambla Catalunya Fantástico piso en alquiler en Barcelona, con 136 m², 3 habitaciones y 2 baños, ascensor, aire acondicionado y calefacción gas natural. Fantástico piso de 136 m2 a cinco minutos de la Plaça de Catalunya y junto al Passeig de Gràcia. Tiene orientación al sur y gracias a sus grandes ventanales recibe luz del sol todo el día. Al entrar a la vivienda tenemos un recibidor que nos lleva a una de las habitaciones y a un baño completo. Un pasillo nos dirige hacia el amplio salón, pero antes nos encontramos con una segunda habitación. La antesala de salón está preparada para utilizarse como despacho. El salón impresiona, amplio, con mucha luz natural y una galería al fondo con grandes ventanales.  Apetece imaginar los desayunos, las comidas con amigos y familiares, los atardeceres románticos.. .  El salón da acceso a una gran cocina independiente totalmente equipada y con espacio para una mesa, y a un lavadero interior. Al fondo del salón nos encontramos con la zona de noche, con una habitación suite con un amplio baño y un pequeño despacho. El suelo es de parquet, y las ventanas de carpintería de aluminio. No se admiten animales domésticos. La finca dispone de servicio de portería. Gastos de comunidad e IBI no incluidos: 90€/mes Índice de referencia: 13,28€/m2 No dude en visitarlo, podrá vivir en el centro de Barcelona en un piso impecable."
Dreta de l´Eixample,865 €,,1 Baño,,Superficie 54 m,,Planta número 2,,,Terraza 51 m,,,Aire acondicionado ,,"VGPSLat\"":41.4058936","VGPSLon\"":2.1685010",https://www.habitaclia.com/alquiler-apartamento-piso_con_terraza_en_pau_alsina_dreta_de_l_eixample-barcelona-i4650004022291.htm?f=&from=list&lo=55," Situado en barrio de Gracia-al lado de Travesera de Gracia y Plaza Joanic -cerca Paseo San Juan- Barcelona-Zona muy tranquila sin ruidos. •	Piso reformado. Superficie  51 m2   •	1 Habitación matrimonio- comedor estar-con parquet-balcón con sol - cocina independiente equipada con nevera y  lavadora, horno, gas natural, 1 baño completo,  con muebles. Aire acondicionado. •	Terrado- terraza 45m2, con sol de uso exclusivo.   •	1 Baño completo. Índice de precios de alquiler en fecha  Renta anterior contrato en los últimos 5 años: 865€"
Dreta de l´Eixample,1.384 €,2 habitaciones,1 Baño,,Superficie 82 m,Año construcción 1900,Planta número 2,,,,Sin calefacción,,Sin aire acondicionado,Ascensor ,"VGPSLat\"":41.3939671","VGPSLon\"":2.1645615",https://www.habitaclia.com/alquiler-piso-dreta_de_l_eixample-barcelona-i2875004128918.htm?f=&from=list&lo=55," Se alquila vivienda luminosa y soleada, en finca regia con mucho encanto, ubicado en el Quadrat d´Or. La ubicación de la vivienda es inmejorable, ya que esta situada en calle Valencia, a 50 metros de Paseo de Gracia! El piso consta de: Salón comedor exterior a calle. 2 habitaciones: Habitación doble principal, exterior a calle Habitación Individual, interior. Amplia cocina muy luminosa, con horno y lavadora incluida. Baño reformado a estrenar. No se admiten animales de compañia. Vivienda semi amueblada. Orientada a mar, con sol directo y muy luminosa. Servicio de conserjeria. Acceso adaptado a minusválidos. Rodeado de todos los servicios y con muy buena comunicación! Fianza e Impuestos no incluidos en el precio de alquiler. Precio Índice de Precios de Alquiler de la Agencia Catalana de l Habitatge de la Generalitat es: 15,68€/m2 Gastos de comunidad (103,36 eur/mes) e IBi ( 77,27eur/mes) incluidos en el alquiler. Esta vivienda no se ha alquilado nunca anteriormente."
Dreta de l´Eixample,1.750 €,3 habitaciones,2 Baños,,Superficie 114 m,Año construcción 1750,Planta número 4,Lavadero ,,,Calefacción ,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3907440","VGPSLon\"":2.1749980",https://www.habitaclia.com/alquiler-piso-en_finca_regia_calle_ausias_marc_16_dreta_de_l_eixample-barcelona-i4886004099528.htm?f=&from=list&lo=55," FINQUES LA LLAR ALQUILA. FANTÁSTICO PISO SITUADO EN EL CENTRO DE BARCELONA, EN UNA FINCA REGIA, TOTALMENTE REFORMADO.. Consta de tres dormitorios dobles (uno de ellos suite), amplio salón comedor de 45m² con cocina americana, dos baños (uno de 6,39 m² y otro de 5,32 m²) y una pequeña galería de 2 m². Totalmente reformado. Suelos gres y parquet, ventanas de aluminio con doble vidrio, vitrocerámica, calefacción por aire. TODO EXTERIOR!. Se requiere contrato fijo e ingresos mínimos demostrables. No se aceptan animales.   L´Eixample (en catalán y oficialmente Eixample) es el nombre que recibe el distrito segundo de la ciudad de Barcelona, ​​que ocupa la parte central de la ciudad, en una amplia zona de 7,46 km² que fue diseñada por Ildefonso Cerdà. Es el distrito más poblado de Barcelona y de toda España en términos absolutos (262.485 habitantes) y el segundo en términos relativos (35.586 hab / km²). En el distrito del Eixample es donde se pueden encontrar algunas de las vías y plazas más conocidas de Barcelona, ​​como el paseo de Gracia, Rambla de Cataluña, la plaza de Cataluña, la avenida Diagonal, la calle Aragón , Gran vía de las Cortes Catalanas, la calle de Balmes, la ronda de Sant Antoni, la ronda de Sant Pere, el paseo de San Juan, la plaza de la Sagrada Familia, la plaza de Gaudí, y en sus extremos, la plaza de las glorias Catalanas y la plaza Francesc Macià. Asimismo, el Eixample se encuentran numerosos puntos de interés turístico y ciudadano como la Basílica de la Sagrada Familia, la Casa Milà, la Casa Batlló, el Teatro Nacional de Cataluña, el Auditorio de Barcelona, ​​la Plaza de toros monumental, la Casa de les Punxes, así como numerosos cines, teatros, restaurantes, hoteles y otros lugares de ocio FINQUES LA LLAR LLOGA. FANTÀSTIC PIS SITUAT AL CENTRE DE BARCELONA, EN UNA FINCA REGIA, TOTALMENT REFORMAT .. Consta de tres dormitoris dobles (un d´ells suite), ampli saló menjador de 45m² amb cuina americana, dos banys (un d´6,39 m² i un altre de 5,32 m²) i una petita galeria de 2 m². Totalment reformat. Terres gres i parquet, finestres d´alumini amb doble vidre, vitroceràmica, calefacció per aire. TOT EXTERIOR !. Es requereix contracte fix i ingressos mínims demostrables. No s´accepten animals. L´Eixample (en català i oficialment Eixample) és el nom que rep el districte segon de la ciutat de Barcelona, ​​que ocupa la part central de la ciutat, en una àmplia zona de 7,46 km² que va ser dissenyada per Ildefons Cerdà. És el districte més poblat de Barcelona i de tot Espanya en termes absoluts (262.485 habitants) i el segon en termes relatius (35.586 hab / km²). Al districte de l´eixample és on es poden trobar algunes de les vies i places més conegudes de Barcelona, ​​com el passeig de Gràcia, la rambla de Catalunya, la plaça de Catalunya, l´avinguda Diagonal, el carrer d´Aragó, la Gran via de les Corts Catalanes, el carrer de Balmes, la ronda de Sant Antoni, la ronda de Sant Pere, el passeig de Sant Joan, la plaça de la Sagrada Família, la plaça de Gaudí, i en els seus extrems, la plaça de les glòries Catalanes i la plaça Francesc Macià. Així mateix, a l´Eixample es troben nombrosos punts d´interès turístic i ciutadà com la Basílica de la Sagrada Família, la Casa Milà, la Casa Batlló, el Teatre Nacional de Catalunya, l´Auditori de Barcelona, ​​la Plaça de toros Monumental, la Casa de les Punxes, així com nombrosos cinemes, teatres, restaurants, hotels i altres llocs d´oci. FINQUES LA LLAR RENT. FANTASTIC APARTMENT LOCATED IN THE CENTER OF BARCELONA, IN A REGIAN FINCA, COMPLETELY RENOVATED .. It consists of three double bedrooms (one of them a suite), large 45m² living room with kitchenette, two bathrooms (one of 6.39 m² and the other of 5.32 m²) and a small gallery of 2 m². Completely renovated. Stoneware and parquet floors, aluminum windows with double glass, ceramic hob, air heating. ALL EXTERIOR!. Fixed contract and demonstrable minimum income required. Animals are not accepted. L´Eixample (in Catalan and officially Eixample) is the name given to the second district of the city of Barcelona, ​​which occupies the central part of the city, in a large area of ​km² that was designed by Ildefonso Cerdà . It is the most populated district in Barcelona and in all of Spain in absolute terms (262,485 inhabitants) and the second in relative terms (35,586 inhabitants / km²). The Eixample district is where you can find some of the best-known streets and squares in Barcelona, ​​such as Passeig de Gracia, Rambla de Catalunya, Plaça de Catalunya, Diagonal avenue, Aragón street, Gran Via de las Cortes Catalanas, Calle de Balmes, Ronda de Sant Antoni, Ronda de Sant Pere, Paseo de San Juan, Plaza de la Sagrada Familia, Plaza de Gaudí, and at its ends, Plaza de las Glories Catalan and Francesc Macià square. Likewise, the Eixample is home to numerous points of tourist and citizen interest such as the Basilica of the Sagrada Familia, Casa Milà, Casa Batlló, the National Theater of Catalonia, the Auditorium of Barcelona, ​​the monumental bullring, the Casa de les Punxes, as well as numerous cinemas, theaters, restaurants, hotels and other entertainment venues. "
