barrio,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,lat,lon,url,text
,,,,,,,,,,,,,,,,,https://www.habitaclia.com/viviendas-dreta_de_l_eixample-barcelona.htm,
Dreta de l´Eixample,1.150.000 €,7 habitaciones,3 Baños,,Superficie 336 m,Año construcción 1960,,Lavadero ,Trastero ,Terraza 12 m,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3997160","VGPSLon\"":2.1700627",https://www.habitaclia.com/comprar-piso-propiedad_con_terraza_y_vistas_a_passeig_sant_joan_dreta_de_l_eixample-barcelona-i4737003795200.htm?f=&from=list&lo=55," Con una ubicación inmejorable, en pleno Passeig Sant Joan, una de las zonas más cotizadas de la ciudad, rodeada de todos los servicios y comercios, encontramos esta magnífica vivienda en quinta planta de altura con muchísima luz natural, terraza y bonitas vistas a la ciudad. Accedemos a la vivienda, de unos 330m2 construidos según plano, por un amplio recibidor que da paso a un maravilloso salón comedor en dos ambientes y con salida directa a una aprovechable terraza de unos 12m2. Completan la zona de día, una cocina office con zona de despensa así como habitación y baño de servicio. La zona de noche dispone de 6 dormitorios de los cuales 5 son dobles y dos baños completos. La vivienda dispone de suelos de madera y carpinterías originales y, aunque se encuentra en buen estado de conservación, tiene infinidad de posibilidades de reforma o actualización. Completan esta amplísima propiedad, un trastero de unos 10m2."
Dreta de l´Eixample,399.000 €,3 habitaciones,1 Baño,,Superficie 89 m,Año construcción 1934,Planta número 4,Lavadero ,Trastero ,,Calefacción ,Sin plaza parking,Sin aire acondicionado,Ascensor ,"VGPSLat\"":41.3986358","VGPSLon\"":2.1696693",https://www.habitaclia.com/comprar-piso-dreta_de_l_eixample-barcelona-i3770004136613.htm?f=&from=list&lo=55," Quieres un piso alto, muy luminoso y soleado, con balcón y una excelente ubicación a buen precio? Lo tenemos! Vivienda en una cuarta planta, con ascensor, doble orientación mar-montaña, exterior a calle y patio de manzana, que le otorga luz y sol todo el día, junto a la plaza Joanic y a 1 minuto de la estación de Metro. Consta de 3 habitaciones (dos dobles exteriores y soleadas y una individual amplia). Distribución cómoda y piso totalmente reformado. Finca clásica en excelentes condiciones con certificado de aptitud! No pierdas la oportunidad y pide tu visita! Estaremos encantados de atenderte! TE AYUDAMOS CON LA FINANCIACIÓN O COMPRAMOS TU PISO SI NECESITAS VENDERLO! -------------------------------------------------------------------------------------------------------------------------------------------------------- Vols un pis alt, molt lluminós i assolellat, amb balcó i una excel·lent ubicació a bon preu? Ho tenim! Habitatge en una quarta planta, amb ascensor, doble orientació mar-muntanya, exterior a carrer i pati de poma, que li atorga llum i sol tot el dia, al costat de la plaça Joanic i a 1 minut de l´estació de metro. Consta de 3 habitacions (dos dobles exteriors i assolellades i una individual àmplia). Distribució còmoda i pis totalment reformat. Finca clàssica en excel·lents condicions amb certificat d´aptitud! No perdis l´oportunitat i demana la teva visita! Estarem encantats d´atendre´t! T´AJUDEM AMB EL FINANÇAMENT O COMPREM EL TEU PIS SI NECESSITES VENDRE´L! -------------------------------------------------------------------------------------------------------------------------------------------------------- Do you want a high floor, very bright and sunny, with a balcony and an excellent location at a good price? We have it! Housing on a fourth floor, with elevator, double sea-mountain orientation, exterior to the street and block patio, which gives it light and sun all day, next to the Joanic square and 1 minute from the Metro station. It consists of 3 bedrooms (two exterior and sunny doubles and one large single). Comfortable distribution and completely renovated apartment. Classic finca in excellent condition with certificate of aptitude! Do not miss the opportunity and ask for your visit! We will be delighted to assist you! WE HELP YOU WITH THE FINANCING OR WE BUY YOUR APARTMENT IF YOU NEED TO SELL IT!"
Dreta de l´Eixample,1.385.000 €,3 habitaciones,1 Baño,,Superficie 211 m,,,,,,Sin calefacción,Sin plaza parking,Sin aire acondicionado,Ascensor ,"VGPSLat\"":41.3947050","VGPSLon\"":2.1587580",https://www.habitaclia.com/comprar-piso-en_venta_en_de_211_m2_dreta_de_l_eixample-barcelona-i29169000000422.htm?f=&from=list&lo=55," Vivienda en venta de 211m2 , actualmente acondicionada como oficina. Una gran oportunidad de distribuir a sus necesidades. Dispone de 7 estancias y cocina para acondicionar a su gusto.  Situada en la misma Rambla de Barcelona en edificio emblemático de la  ciudad. En zona residencial rodeado de servicios muy cerca del casco histórico de la ciudad.  SAM Real Estate Management, especialistas en obra nueva, venta de inmuebles de segunda mano y activos singulares Encuentra más en 

El inmueble cuenta con las siguientes calidades: a estrenar, ascensor, luminoso, reformado"
Dreta de l´Eixample,260.000 €,,1 Baño,,Superficie 71 m,Año construcción 1925,,,,Balcón / Terraza 7 m,Calefacción ,Sin plaza parking,Sin aire acondicionado,Ascensor ,"VGPSLat\"":41.4018937","VGPSLon\"":2.1691404",https://www.habitaclia.com/comprar-piso-nuevo_a_estrenar_dreta_de_l_eixample-barcelona-i4672003199309.htm?f=&from=list&lo=55," Se trata de un precioso piso, ubicado en los bajos de Rossello y Roger de Flor, a pocos metros de Diagonal y cerca de la Sagrada Familia. Tiene Cedula de Habitabilidad y se puede compaginar Despacho mas vivienda, tiene entrada independiente directo de la calle, 61 m2 útiles ( 70 construidos ) y una espectacular doble altura de techos ( mas de 4 metros ) lo cual permite aumentar superficie útil, ventila por el frente y por un patio trasero, que recibe sol directo.  Totalmente amoblado y equipado, dispone de un sistema de calefacción por suelo radiante dividido en circuitos.  Obra nueva, con espacioso diseño, pudiendo ser también una excelente oportunidad de inversión, ya que no esta afectada a limite alguno de precio de alquiler.    El precio no incluye ni los impuestos ni gastos de la compraventa.    Finques Mur agente AICAT número 5556 colegiado API número 3230"
,desde ,,,,,,,,,,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3986824","VGPSLon\"":2.1694027",https://www.habitaclia.com/obra_nueva-viviendas-en-barcelona/promo_33167003987443?from=list&lo=56," Torre Diagonal 331 és una promoció situada a una de les avingudes més exclusives de Barcelona. Està molt ben comunicada amb cotxe, transport públic i carril bici. És a una de les zones cèntriques de moda a Barcelona, un lloc excel·lent per passejar i gaudir amb la seva àmplia oferta de botigues i restaurants. Situada a la zona alta de l’Eixample Dret, tocant a Passeig Sant Joan i molt a prop del temple de la Sagrada Família. El clima de Barcelona, la seva història, l’arquitectura, la cultura, la gastronomia, la gent i els mercats, són només unes quantes raons que fan que Barcelona sigui una de les ciutats preferides tant per visitar com per viure-hi. I no oblidem el seu ambient cosmopolita i acollidor que compta amb carrers plens de botigues, cafès i racons encantadors. Habitatges de luxe en una finca totalment reformada que manté tot l’esplendor original i amb vistes impressionants a la Sagrada Família o a l’espectacular pati interior de l’Eixample. Apartaments moderns amb una distribució pràctica i fluida que connecta espais creant zones obertes i plenes de llum."
Dreta de l´Eixample,375.000 €,3 habitaciones,2 Baños,,Superficie 85 m,,,,,,Calefacción ,Sin plaza parking,Sin aire acondicionado,Ascensor ,"VGPSLat\"":41.3987300","VGPSLon\"":2.1647600",https://www.habitaclia.com/comprar-piso-con_3_habitaciones_ascensor_y_calefaccion_dreta_de_l_eixample-barcelona-i2376002556368.htm?f=&from=list&lo=55," Fantástico piso reformado en pleno centro de Barcelona, en la calle de Rosselló con Bruc. A cinco minutos de Paseo de Gràcia. El piso dispone de tres dormitorios ( uno doble y dos individuales), baño, lavabo, salón-comedor de 20 m² y cocina con salida a galería. El piso se encuentra en una quinta planta real. La finca dispone de ascensor. Completamente reformado: tierras de parqué, calefacción a gas natural, cocina con espacio para lavaplatos, galería, baño reformado con plato de ducha de obra grande, etc. El piso es exterior a patio de isla en orientación sur muy tranquilo. El producto está comercializado por MAS I FILL  PATRIMONIA, que gestiona inmuebles desde 1932"
Dreta de l´Eixample,850.000 €,,1 Baño,,Superficie 126 m,Año construcción 1900,,,Trastero ,Terraza 200 m,Calefacción ,,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3932000","VGPSLon\"":2.1621000",https://www.habitaclia.com/comprar-atico-con_licencia_turistica_entre_passeig_de_gracia_y_rambla_de_dreta_de_l_eixample-barcelona-i4737003785278.htm?f=&from=list&lo=55," En una ubicación excepcional entre Passeig de Gràcia y Rambla de Catalunya, en una bonita finca regia, encontramos este maravilloso ático de unos 60m² con fantásticas terrazas de unos 200m² que lo rodean dando la sensación de absoluta intimidad.  Accedemos a la vivienda por un pequeño recibidor que da paso a una agradable zona de cocina abierta y salón comedor así como a un bonito dormitorio en suit, con amplios armarios. La zona de día tiene salida directa por el salón a una maravillosa terraza con orientación sur -este y bonitas vistas al patio de manzana que da paso, a una segunda terraza que rodea la vivienda y que se comunica también con la terraza a la que se accede desde la cocina que, a su vez, comunica con otra terraza en un nivel superior.  La vivienda completamente amueblada y equipada con materiales y gusto excepcional, dispone además de licencia turística con ocupación cercana al 100%. "
Dreta de l´Eixample,485.000 €,4 habitaciones,2 Baños,,Superficie 115 m,,,,,,Sin calefacción,Sin plaza parking,Aire acondicionado ,Ascensor ,"VGPSLat\"":41.3909100","VGPSLon\"":2.1627200",https://www.habitaclia.com/comprar-piso-con_4_habitaciones_ascensor_y_aire_acondicionado_dreta_de_l_eixample-barcelona-i2376002556363.htm?f=&from=list&lo=55," Magnífico piso situado aen calle Aragón con Rambla Cataluña de 115 m². En pleno centro del Eixample. Piso alto quinta planta, orientación sur. Finca señorial de l´año 1936 con ascensor, rehabilitada. El piso se distribuye en salón-comedor de 26 m² exterior, cocina, cuatro dormitorios (un suitte, dos dobles y una individual), dos baños en total. El inmueble se encuentra reformado de hace muy poco tiempo. Cocina a gas natural pero con instalación por vitrocerámica si se prefiere. Lavaplatos integrado. El piso se puede entregar con todos los electrodomésticos. Dispone de parquet, aire acondicionado, carpinteria de aluminio, altillo. Espectacular zona. Todos los servicios a su alcance: metros, autobús, tren, etc. El producto está comercializado por MAS I FILL PATRIMONIA, que gestiona inmuebles desde 1932"
Dreta de l´Eixample,Oportunidad,3 habitaciones,2 Baños,,Superficie 109 m,Año construcción 1965,,,,,Calefacción ,Plaza parking ,Aire acondicionado ,Ascensor ,,,https://www.habitaclia.com/comprar-piso-comodo_y_bonito_en_eixample_dret_dreta_de_l_eixample-barcelona-i8166003780828.htm?f=&from=list&lo=55," Encantadora vivienda reformada, amueblada y equipada. Desde su amplio y luminoso salón con chimenea podrá disfrutar de la tranquilidad de vivir en una vivienda del Eixample con vistas a un bonito y tranquilo patio de manzana. Los muebles son opcionales y están incluidos en el precio. Opcional por precio adicional, la propiedad cuenta con una plaza de parking pequeña, a dos calles de la finca. La parte central del Eixample, la Dreta de l’Eixample, es el barrio donde se concentran los más significativos edificios del Modernismo Catalán, como La Pedrera, la Casa Batlló y la Casa Ametller, entre muchos otros, junto con los comercios, oficinas, cines, teatros, etc, que aún hoy día sigue siendo el centro dinámico de la ciudad. Este piso particularmente, está perfectamente comunicado por transporte público, Plaça Tetuan y  metro Girona a 100 mts, rodeado de numerosos servicios, colegios, comercios y  restaurantes, a dos calles del Paseo Sant Joan y a menos de 10 minutos a pie de Passeig de Gràcia o el trendy barrio del Born."
